modelo,arquivo,total_predicoes,predicoes_positivas,lucro_total
orcamini3b,resultados_trades_orcamini3b.csv,13,6,-14.556785090273765
qwen34b,resultados_trades_qwen34b.csv,16,7,-21.477577169481656
deepseekr18b,resultados_trades_deepseekr18b.csv,2,2,4.260394666069026
falcon33b,resultados_trades_falcon33b.csv,2,2,4.154744696927293
llama323b,resultados_trades_llama323b.csv,2,2,4.260394666069022
openchatlatest,resultados_trades_openchatlatest.csv,2,2,4.154744696927291
orcamini3b,resultados_trades_orcamini3b.csv,2,2,4.154744696927293
qwen34b,resultados_trades_qwen34b.csv,2,1,3.783976078956165
deepseekr18b,resultados_trades_deepseekr18b.csv,42,13,-22.597949007600544
falcon33b,resultados_trades_falcon33b.csv,42,12,-27.100475188085902
llama323b,resultados_trades_llama323b.csv,41,12,-22.743318867598397
openchatlatest,resultados_trades_openchatlatest.csv,39,11,-27.572408935097677
orcamini3b,resultados_trades_orcamini3b.csv,43,13,-25.392480753039454
qwen34b,resultados_trades_qwen34b.csv,40,12,-24.735343845112645
